operator,flightnum,origin,destination,deptime,arrtime,daydiff
EK,001,DXB,LHR,07:45:00,12:25:00,0
EK,002,LHR,DXB,14:20:00,12:20:00,1
EK,008,LHR,DXB,09:05:00,19:10:00,0
EK,009,DXB,LGW,14:55:00,19:45:00,0
EK,010,LGW,DXB,21:45:00,07:35:00,1
EK,015,DXB,LGW,08:00:00,12:35:00,0
EK,016,LGW,DXB,14:30:00,00:35:00,1
EK,011,DXB,LGW,02:45:00,07:20:00,0
EK,012,LGW,DXB,10:00:00,20:00:00,0
EK,564,DXB,BLR,03:20:00,08:55:00,0
EK,565,BLR,DXB,10:35:00,12:45:00,0
EK,566,DXB,BLR,13:45:00,19:15:00,0
EK,567,BLR,DXB,20:45:00,23:05:00,0
EK,568,DXB,BLR,21:30:00,03:00:00,1
EK,569,BLR,DXB,04:30:00,07:00:00,0
